year,geography,record_count,burned_acres,named_record_count,records_with_coordinates,certified_or_final_count,records_with_unknown_month,source_id,source_scope,coverage_tier,coverage_status,provisional,comparable_over_time,causal_smoke_attribution
1990,Canada,9974,2355659,2198,9974,9974,0,nrcan-nfdb-all-fire-points-2026-06-08,provincial and territorial reported fire point records,all_reported_occurrences,agency_year_coverage_varies,false,false,false
1991,Canada,10183,3819430,1686,10183,10183,0,nrcan-nfdb-all-fire-points-2026-06-08,provincial and territorial reported fire point records,all_reported_occurrences,agency_year_coverage_varies,false,false,false
1992,Canada,8967,2104802,1755,8967,8967,0,nrcan-nfdb-all-fire-points-2026-06-08,provincial and territorial reported fire point records,all_reported_occurrences,agency_year_coverage_varies,false,false,false
1993,Canada,5949,4819311,1487,5949,5949,0,nrcan-nfdb-all-fire-points-2026-06-08,provincial and territorial reported fire point records,all_reported_occurrences,agency_year_coverage_varies,false,false,false
1994,Canada,9663,15337110,1574,9663,9663,6,nrcan-nfdb-all-fire-points-2026-06-08,provincial and territorial reported fire point records,all_reported_occurrences,agency_year_coverage_varies,false,false,false
1995,Canada,8463,18486660,1448,8463,8463,11,nrcan-nfdb-all-fire-points-2026-06-08,provincial and territorial reported fire point records,all_reported_occurrences,agency_year_coverage_varies,false,false,false
1996,Canada,6406,4753423,425,6406,6406,6,nrcan-nfdb-all-fire-points-2026-06-08,provincial and territorial reported fire point records,all_reported_occurrences,agency_year_coverage_varies,false,false,false
1997,Canada,6064,1568212,489,6064,6064,7,nrcan-nfdb-all-fire-points-2026-06-08,provincial and territorial reported fire point records,all_reported_occurrences,agency_year_coverage_varies,false,false,false
1998,Canada,10766,11918702,1266,10766,10766,28,nrcan-nfdb-all-fire-points-2026-06-08,provincial and territorial reported fire point records,all_reported_occurrences,agency_year_coverage_varies,false,false,false
1999,Canada,7598,4391822,740,7598,7598,2,nrcan-nfdb-all-fire-points-2026-06-08,provincial and territorial reported fire point records,all_reported_occurrences,agency_year_coverage_varies,false,false,false
2000,Canada,5403,1573183,542,5403,5403,394,nrcan-nfdb-all-fire-points-2026-06-08,provincial and territorial reported fire point records,all_reported_occurrences,agency_year_coverage_varies,false,false,false
2001,Canada,7732,1614823,984,7732,7732,533,nrcan-nfdb-all-fire-points-2026-06-08,provincial and territorial reported fire point records,all_reported_occurrences,agency_year_coverage_varies,false,false,false
2002,Canada,7849,6828690,983,7849,7849,768,nrcan-nfdb-all-fire-points-2026-06-08,provincial and territorial reported fire point records,all_reported_occurrences,agency_year_coverage_varies,false,false,false
2003,Canada,8257,5358465,769,8257,8257,1222,nrcan-nfdb-all-fire-points-2026-06-08,provincial and territorial reported fire point records,all_reported_occurrences,agency_year_coverage_varies,false,false,false
2004,Canada,6470,7865819,430,6470,6470,5,nrcan-nfdb-all-fire-points-2026-06-08,provincial and territorial reported fire point records,all_reported_occurrences,agency_year_coverage_varies,false,false,false
2005,Canada,7442,4168406,430,7442,7442,7,nrcan-nfdb-all-fire-points-2026-06-08,provincial and territorial reported fire point records,all_reported_occurrences,agency_year_coverage_varies,false,false,false
2006,Canada,9719,5190898,649,9719,9719,5,nrcan-nfdb-all-fire-points-2026-06-08,provincial and territorial reported fire point records,all_reported_occurrences,agency_year_coverage_varies,false,false,false
2007,Canada,6911,4411942,462,6911,6911,12,nrcan-nfdb-all-fire-points-2026-06-08,provincial and territorial reported fire point records,all_reported_occurrences,agency_year_coverage_varies,false,false,false
2008,Canada,6218,4091312,877,6218,6218,74,nrcan-nfdb-all-fire-points-2026-06-08,provincial and territorial reported fire point records,all_reported_occurrences,agency_year_coverage_varies,false,false,false
2009,Canada,7121,1873851,844,7121,7121,93,nrcan-nfdb-all-fire-points-2026-06-08,provincial and territorial reported fire point records,all_reported_occurrences,agency_year_coverage_varies,false,false,false
2010,Canada,7315,7855982,695,7315,7315,3,nrcan-nfdb-all-fire-points-2026-06-08,provincial and territorial reported fire point records,all_reported_occurrences,agency_year_coverage_varies,false,false,false
2011,Canada,4675,5925196,463,4675,4675,4,nrcan-nfdb-all-fire-points-2026-06-08,provincial and territorial reported fire point records,all_reported_occurrences,agency_year_coverage_varies,false,false,false
2012,Canada,7911,4476892,510,7911,7911,23,nrcan-nfdb-all-fire-points-2026-06-08,provincial and territorial reported fire point records,all_reported_occurrences,agency_year_coverage_varies,false,false,false
2013,Canada,6246,10547495,527,6246,6246,2,nrcan-nfdb-all-fire-points-2026-06-08,provincial and territorial reported fire point records,all_reported_occurrences,agency_year_coverage_varies,false,false,false
