year,month,geography,record_count,burned_acres,named_record_count,records_with_coordinates,certified_or_final_count,source_id,source_scope,coverage_tier,coverage_status,calendar_window_complete,provisional,comparable_over_time,causal_smoke_attribution
1961,12,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1962,1,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1962,2,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1962,3,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1962,4,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1962,5,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1962,6,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1962,7,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1962,8,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1962,9,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1962,10,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1962,11,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1962,12,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1963,1,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1963,2,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1963,3,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1963,4,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1963,5,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1963,6,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1963,7,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1963,8,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1963,9,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1963,10,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1963,11,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1963,12,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1964,1,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1964,2,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1964,3,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1964,4,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1964,5,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1964,6,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1964,7,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1964,8,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1964,9,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1964,10,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1964,11,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1964,12,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1965,1,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1965,2,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1965,3,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1965,4,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1965,5,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1965,6,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1965,7,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1965,8,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1965,9,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1965,10,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1965,11,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1965,12,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1966,1,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1966,2,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1966,3,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1966,4,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1966,5,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1966,6,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1966,7,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1966,8,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1966,9,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1966,10,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1966,11,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1966,12,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1967,1,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1967,2,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1967,3,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1967,4,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1967,5,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1967,6,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1967,7,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1967,8,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1967,9,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1967,10,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1967,11,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1967,12,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1968,1,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1968,2,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1968,3,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1968,4,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1968,5,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1968,6,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1968,7,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1968,8,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1968,9,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1968,10,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1968,11,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1968,12,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1969,1,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1969,2,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1969,3,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1969,4,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1969,5,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1969,6,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1969,7,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1969,8,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1969,9,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1969,10,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1969,11,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1969,12,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1970,1,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
