year,geography,incident_records,reported_name_records,agency_id_only_records,acres,source_dataset,coverage_scope,source_year_status,source_coverage_complete,comparable_to_other_geography
2007,United States,543,498,45,7682337,MTBS Fire Occurrence Points,"MTBS mapped wildfire: at least 500 acres in the East or 1,000 acres in the West",complete_release_year,true,false
2008,Canada,197,75,122,4041506,Canadian National Fire Database large-fire points,CNFDB reported large-fire point archive: greater than 200 hectares,coverage_varies_by_agency_and_year,false,false
2008,United States,457,440,17,3684688,MTBS Fire Occurrence Points,"MTBS mapped wildfire: at least 500 acres in the East or 1,000 acres in the West",complete_release_year,true,false
2009,Canada,229,41,188,1807590,Canadian National Fire Database large-fire points,CNFDB reported large-fire point archive: greater than 200 hectares,coverage_varies_by_agency_and_year,false,false
2009,United States,387,362,25,3324123,MTBS Fire Occurrence Points,"MTBS mapped wildfire: at least 500 acres in the East or 1,000 acres in the West",complete_release_year,true,false
2010,Canada,386,112,274,7781585,Canadian National Fire Database large-fire points,CNFDB reported large-fire point archive: greater than 200 hectares,coverage_varies_by_agency_and_year,false,false
2010,United States,294,284,10,1893000,MTBS Fire Occurrence Points,"MTBS mapped wildfire: at least 500 acres in the East or 1,000 acres in the West",complete_release_year,true,false
2011,Canada,233,38,195,5886746,Canadian National Fire Database large-fire points,CNFDB reported large-fire point archive: greater than 200 hectares,coverage_varies_by_agency_and_year,false,false
2011,United States,824,773,51,7763249,MTBS Fire Occurrence Points,"MTBS mapped wildfire: at least 500 acres in the East or 1,000 acres in the West",complete_release_year,true,false
2012,Canada,420,67,353,4401072,Canadian National Fire Database large-fire points,CNFDB reported large-fire point archive: greater than 200 hectares,coverage_varies_by_agency_and_year,false,false
2012,United States,569,565,4,8391919,MTBS Fire Occurrence Points,"MTBS mapped wildfire: at least 500 acres in the East or 1,000 acres in the West",complete_release_year,true,false
2013,Canada,374,53,321,10483377,Canadian National Fire Database large-fire points,CNFDB reported large-fire point archive: greater than 200 hectares,coverage_varies_by_agency_and_year,false,false
2013,United States,303,299,4,3809080,MTBS Fire Occurrence Points,"MTBS mapped wildfire: at least 500 acres in the East or 1,000 acres in the West",complete_release_year,true,false
2014,Canada,341,69,272,11172298,Canadian National Fire Database large-fire points,CNFDB reported large-fire point archive: greater than 200 hectares,coverage_varies_by_agency_and_year,false,false
2014,United States,267,262,5,2653338,MTBS Fire Occurrence Points,"MTBS mapped wildfire: at least 500 acres in the East or 1,000 acres in the West",complete_release_year,true,false
2015,Canada,546,164,382,9571817,Canadian National Fire Database large-fire points,CNFDB reported large-fire point archive: greater than 200 hectares,coverage_varies_by_agency_and_year,false,false
2015,United States,536,536,0,9061371,MTBS Fire Occurrence Points,"MTBS mapped wildfire: at least 500 acres in the East or 1,000 acres in the West",complete_release_year,true,false
2016,Canada,199,35,164,3198422,Canadian National Fire Database large-fire points,CNFDB reported large-fire point archive: greater than 200 hectares,coverage_varies_by_agency_and_year,false,false
2016,United States,518,517,1,4246348,MTBS Fire Occurrence Points,"MTBS mapped wildfire: at least 500 acres in the East or 1,000 acres in the West",complete_release_year,true,false
2017,Canada,468,68,400,8789899,Canadian National Fire Database large-fire points,CNFDB reported large-fire point archive: greater than 200 hectares,coverage_varies_by_agency_and_year,false,false
2017,United States,644,635,9,8900137,MTBS Fire Occurrence Points,"MTBS mapped wildfire: at least 500 acres in the East or 1,000 acres in the West",complete_release_year,true,false
2018,Canada,429,53,376,5654328,Canadian National Fire Database large-fire points,CNFDB reported large-fire point archive: greater than 200 hectares,coverage_varies_by_agency_and_year,false,false
2018,United States,525,524,1,7404648,MTBS Fire Occurrence Points,"MTBS mapped wildfire: at least 500 acres in the East or 1,000 acres in the West",complete_release_year,true,false
2019,Canada,192,32,160,4362485,Canadian National Fire Database large-fire points,CNFDB reported large-fire point archive: greater than 200 hectares,coverage_varies_by_agency_and_year,false,false
2019,United States,380,366,14,4186941,MTBS Fire Occurrence Points,"MTBS mapped wildfire: at least 500 acres in the East or 1,000 acres in the West",complete_release_year,true,false
2020,Canada,80,31,49,509418,Canadian National Fire Database large-fire points,CNFDB reported large-fire point archive: greater than 200 hectares,coverage_varies_by_agency_and_year,false,false
2020,United States,467,467,0,9330236,MTBS Fire Occurrence Points,"MTBS mapped wildfire: at least 500 acres in the East or 1,000 acres in the West",complete_release_year,true,false
2021,Canada,596,338,258,9979867,Canadian National Fire Database large-fire points,CNFDB reported large-fire point archive: greater than 200 hectares,coverage_varies_by_agency_and_year,false,false
2021,United States,422,422,0,7069633,MTBS Fire Occurrence Points,"MTBS mapped wildfire: at least 500 acres in the East or 1,000 acres in the West",complete_release_year,true,false
2022,Canada,425,66,359,3830840,Canadian National Fire Database large-fire points,CNFDB reported large-fire point archive: greater than 200 hectares,coverage_varies_by_agency_and_year,false,false
2022,United States,530,530,0,6856430,MTBS Fire Occurrence Points,"MTBS mapped wildfire: at least 500 acres in the East or 1,000 acres in the West",complete_release_year,true,false
2023,Canada,965,260,705,43415076,Canadian National Fire Database large-fire points,CNFDB reported large-fire point archive: greater than 200 hectares,coverage_varies_by_agency_and_year,false,false
2023,United States,325,325,0,1944202,MTBS Fire Occurrence Points,"MTBS mapped wildfire: at least 500 acres in the East or 1,000 acres in the West",complete_release_year,true,false
2024,Canada,535,122,413,13194648,Canadian National Fire Database large-fire points,CNFDB reported large-fire point archive: greater than 200 hectares,coverage_varies_by_agency_and_year,false,false
2024,United States,331,331,0,4678193,MTBS Fire Occurrence Points,"MTBS mapped wildfire: at least 500 acres in the East or 1,000 acres in the West",complete_release_year,true,false
2025,Canada,532,90,442,20770272,Canadian National Fire Database large-fire points,CNFDB reported large-fire point archive: greater than 200 hectares,coverage_varies_by_agency_and_year,false,false
2025,United States,21,21,0,872388,MTBS Fire Occurrence Points,"MTBS mapped wildfire: at least 500 acres in the East or 1,000 acres in the West",provisional_incomplete,false,false
2026,United States,5,5,0,844382,MTBS Fire Occurrence Points,"MTBS mapped wildfire: at least 500 acres in the East or 1,000 acres in the West",provisional_incomplete,false,false
