zcta,name,state,population_2020,latitude,longitude,grid_distance_km,smoke_days_aqi101_equiv,mean_smoke_pm25_ug_m3,population_days
01824,ZCTA5 01824,MA,26881,42.59079,-71.355182,4.138,1,0.792,26881
01826,ZCTA5 01826,MA,32689,42.679723,-71.30068,7.326,1,0.771,32689
01827,ZCTA5 01827,MA,3358,42.676149,-71.499772,8.456,1,0.801,3358
01830,ZCTA5 01830,MA,27553,42.796313,-71.053436,5.051,1,0.81,27553
01832,ZCTA5 01832,MA,25656,42.791114,-71.132859,5.508,1,0.81,25656
01833,ZCTA5 01833,MA,8410,42.726226,-70.983318,8.895,1,0.811,8410
01834,ZCTA5 01834,MA,6752,42.7539,-71.015935,9.779,1,0.789,6752
01835,ZCTA5 01835,MA,14578,42.751327,-71.094421,8.186,1,0.8,14578
01840,ZCTA5 01840,MA,7121,42.706763,-71.160403,1.646,1,0.8,7121
01841,ZCTA5 01841,MA,53654,42.712015,-71.164873,2.316,1,0.8,53654
01843,ZCTA5 01843,MA,28346,42.689988,-71.16039,0.539,1,0.8,28346
01844,ZCTA5 01844,MA,52970,42.742641,-71.178651,5.901,1,0.8,52970
01845,ZCTA5 01845,MA,31855,42.673909,-71.091334,5.586,1,0.8,31855
01850,ZCTA5 01850,MA,16670,42.656045,-71.303309,9.645,1,0.771,16670
01851,ZCTA5 01851,MA,32691,42.627813,-71.335334,6.515,1,0.792,32691
01852,ZCTA5 01852,MA,36708,42.632978,-71.295616,9.686,1,0.792,36708
01854,ZCTA5 01854,MA,29561,42.649481,-71.348229,7.275,1,0.792,29561
01860,ZCTA5 01860,MA,6723,42.838603,-71.011997,6.667,1,0.81,6723
01862,ZCTA5 01862,MA,11430,42.578543,-71.295592,7.061,1,0.775,11430
01863,ZCTA5 01863,MA,9536,42.631176,-71.388163,3.838,1,0.792,9536
01864,ZCTA5 01864,MA,15554,42.578401,-71.084448,9.032,1,0.788,15554
01867,ZCTA5 01867,MA,25522,42.535183,-71.105423,7.0,1,0.788,25522
01876,ZCTA5 01876,MA,31105,42.611801,-71.227571,6.508,1,0.775,31105
01879,ZCTA5 01879,MA,12368,42.667762,-71.42882,7.917,1,0.792,12368
01880,ZCTA5 01880,MA,27071,42.501524,-71.067489,3.336,1,0.788,27071
01886,ZCTA5 01886,MA,24618,42.585541,-71.44025,3.276,1,0.792,24618
01887,ZCTA5 01887,MA,23349,42.564647,-71.164516,4.393,1,0.775,23349
01890,ZCTA5 01890,MA,22970,42.452752,-71.144319,10.245,1,0.769,22970
01901,ZCTA5 01901,MA,2794,42.460419,-70.946379,8.575,1,0.788,2794
01902,ZCTA5 01902,MA,50725,42.471039,-70.941535,8.229,1,0.788,50725
01904,ZCTA5 01904,MA,19944,42.492456,-70.97393,4.781,1,0.788,19944
01905,ZCTA5 01905,MA,27761,42.465998,-70.975792,6.387,1,0.788,27761
01906,ZCTA5 01906,MA,28619,42.468432,-71.013946,4.616,1,0.788,28619
01907,ZCTA5 01907,MA,15148,42.474145,-70.906597,5.594,1,0.765,15148
01908,ZCTA5 01908,MA,3334,42.428234,-70.926071,8.054,1,0.765,3334
01913,ZCTA5 01913,MA,17366,42.851277,-70.955792,8.409,1,0.789,17366
01915,ZCTA5 01915,MA,42341,42.570442,-70.867693,8.119,1,0.756,42341
01921,ZCTA5 01921,MA,8263,42.683108,-71.027188,6.383,1,0.811,8263
01922,ZCTA5 01922,MA,3134,42.757313,-70.914241,3.264,1,0.789,3134
01923,ZCTA5 01923,MA,27987,42.574174,-70.950516,8.224,1,0.811,27987
01929,ZCTA5 01929,MA,3618,42.640451,-70.771165,4.358,1,0.756,3618
01930,ZCTA5 01930,MA,29729,42.623248,-70.682798,8.155,1,0.756,29729
01937,ZCTA5 01937,MA,100,42.585723,-70.984051,6.991,1,0.811,100
01938,ZCTA5 01938,MA,13785,42.68386,-70.842666,10.565,1,0.756,13785
01940,ZCTA5 01940,MA,13326,42.534146,-71.038333,2.961,1,0.788,13326
01944,ZCTA5 01944,MA,5395,42.576636,-70.767154,2.913,1,0.756,5395
01945,ZCTA5 01945,MA,20462,42.501565,-70.858834,4.546,1,0.765,20462
01949,ZCTA5 01949,MA,9779,42.610513,-71.007118,5.277,1,0.811,9779
01950,ZCTA5 01950,MA,18289,42.812358,-70.891095,3.149,1,0.789,18289
01951,ZCTA5 01951,MA,3582,42.773351,-70.850211,4.625,1,0.789,3582
01952,ZCTA5 01952,MA,9236,42.844794,-70.841499,8.326,1,0.789,9236
01960,ZCTA5 01960,MA,54155,42.53431,-70.969443,5.58,1,0.788,54155
01966,ZCTA5 01966,MA,6992,42.640699,-70.62025,9.638,0,0.741,0
01969,ZCTA5 01969,MA,6161,42.720873,-70.89122,7.292,1,0.789,6161
01970,ZCTA5 01970,MA,44451,42.527624,-70.86987,7.579,1,0.765,44451
01982,ZCTA5 01982,MA,7618,42.626223,-70.85723,7.036,1,0.756,7618
01983,ZCTA5 01983,MA,6569,42.641387,-70.943383,1.979,1,0.811,6569
01984,ZCTA5 01984,MA,4979,42.600668,-70.88326,8.54,1,0.811,4979
01985,ZCTA5 01985,MA,4500,42.799565,-70.964428,5.141,1,0.789,4500
02019,ZCTA5 02019,MA,16945,42.076682,-71.47449,8.765,1,0.771,16945
