zcta,name,state,population_2020,latitude,longitude,land_sq_mi
32359,ZCTA5 32359,FL,1837,29.677506,-83.395856,156.554
32361,ZCTA5 32361,FL,237,30.357712,-83.988583,2.293
32399,ZCTA5 32399,FL,0,30.43704,-84.282546,0.248
32401,ZCTA5 32401,FL,20487,30.159737,-85.660922,10.699
32403,ZCTA5 32403,FL,141,30.048562,-85.553231,44.22
32404,ZCTA5 32404,FL,38186,30.204646,-85.501746,128.928
32405,ZCTA5 32405,FL,28158,30.202099,-85.667407,19.005
32407,ZCTA5 32407,FL,14366,30.198324,-85.790694,13.879
32408,ZCTA5 32408,FL,17479,30.142468,-85.728034,10.558
32409,ZCTA5 32409,FL,10394,30.356762,-85.65369,75.636
32410,ZCTA5 32410,FL,439,29.995187,-85.414223,20.056
32413,ZCTA5 32413,FL,15217,30.3103,-85.905314,72.99
32420,ZCTA5 32420,FL,2289,30.632365,-85.38457,52.367
32421,ZCTA5 32421,FL,4214,30.525357,-85.172774,137.229
32423,ZCTA5 32423,FL,1213,30.943777,-85.048909,65.414
32424,ZCTA5 32424,FL,7145,30.362385,-85.08306,156.557
32425,ZCTA5 32425,FL,14419,30.853184,-85.720492,268.351
32426,ZCTA5 32426,FL,778,30.946886,-85.370413,48.508
32427,ZCTA5 32427,FL,1293,30.710487,-85.792309,46.491
32428,ZCTA5 32428,FL,17946,30.61575,-85.572945,281.334
32430,ZCTA5 32430,FL,1095,30.418367,-85.234083,83.112
32431,ZCTA5 32431,FL,4981,30.787482,-85.410816,106.193
32432,ZCTA5 32432,FL,98,30.714871,-85.077571,0.129
32433,ZCTA5 32433,FL,18036,30.851178,-86.200838,259.141
32435,ZCTA5 32435,FL,6935,30.648635,-86.130197,129.256
32437,ZCTA5 32437,FL,612,30.436248,-85.909221,35.182
32438,ZCTA5 32438,FL,4363,30.501235,-85.424174,62.844
32439,ZCTA5 32439,FL,12943,30.485294,-86.121336,102.77
32440,ZCTA5 32440,FL,7581,30.922426,-85.52619,104.48
32442,ZCTA5 32442,FL,3569,30.678448,-85.0164,93.638
32443,ZCTA5 32443,FL,2975,30.872521,-85.10942,59.009
32444,ZCTA5 32444,FL,19913,30.239945,-85.6516,9.371
32445,ZCTA5 32445,FL,2468,30.97052,-85.197338,26.04
32446,ZCTA5 32446,FL,9970,30.84817,-85.231368,162.898
32448,ZCTA5 32448,FL,8084,30.671012,-85.223312,185.192
32449,ZCTA5 32449,FL,567,30.286718,-85.239598,49.994
32455,ZCTA5 32455,FL,4425,30.638626,-85.962701,232.043
32456,ZCTA5 32456,FL,7439,29.839053,-85.297519,82.012
32459,ZCTA5 32459,FL,20567,30.360577,-86.185591,54.752
32460,ZCTA5 32460,FL,5409,30.764089,-84.954234,74.14
32461,ZCTA5 32461,FL,2878,30.289698,-86.027598,0.597
32462,ZCTA5 32462,FL,3473,30.5542,-85.833399,153.608
32463,ZCTA5 32463,FL,166,30.631413,-85.590275,0.084
32464,ZCTA5 32464,FL,3858,30.902879,-85.952559,170.373
32465,ZCTA5 32465,FL,7251,30.007868,-85.181889,236.423
32466,ZCTA5 32466,FL,6195,30.394388,-85.512372,113.504
32501,ZCTA5 32501,FL,10960,30.428781,-87.222515,3.805
32502,ZCTA5 32502,FL,4277,30.409367,-87.223506,2.303
32503,ZCTA5 32503,FL,33693,30.459667,-87.213643,12.309
32504,ZCTA5 32504,FL,21791,30.473121,-87.186316,10.701
32505,ZCTA5 32505,FL,28671,30.454624,-87.26065,13.551
32506,ZCTA5 32506,FL,36017,30.391628,-87.369394,32.464
32507,ZCTA5 32507,FL,31215,30.339189,-87.378231,25.195
32508,ZCTA5 32508,FL,5528,30.350614,-87.316902,8.087
32509,ZCTA5 32509,FL,561,30.469744,-87.340363,1.278
32511,ZCTA5 32511,FL,1380,30.406055,-87.291696,0.243
32514,ZCTA5 32514,FL,40844,30.531359,-87.22171,19.592
32526,ZCTA5 32526,FL,43029,30.499226,-87.365573,58.167
32530,ZCTA5 32530,FL,142,30.598239,-87.030361,0.049
32531,ZCTA5 32531,FL,6532,30.884038,-86.683468,217.415
