year,geography,rank,fire_name,label_kind,normalized_record_id,source_record_id,region,latitude,longitude,acres,source_dataset,provisional,causal_smoke_attribution
1979,Canada,3,Da3028,reported_name,nrcan-nfdb:6857,AB-1979-DA3-028-79,Alberta,58.1839,-110.647,44599,Canadian National Fire Database large-fire points,false,false
1980,Canada,1,Da3002,reported_name,nrcan-nfdb:6858,AB-1980-DA3-002-80,Alberta,58.2801,-110.1896,521248,Canadian National Fire Database large-fire points,false,false
1980,Canada,2,Dl9004,reported_name,nrcan-nfdb:6941,AB-1980-DL9-004-80,Alberta,55.319,-110.319,325773,Canadian National Fire Database large-fire points,false,false
1980,Canada,3,Dp4032,reported_name,nrcan-nfdb:6890,AB-1980-DP4-032-80,Alberta,57.3699,-118.7916,202345,Canadian National Fire Database large-fire points,false,false
1981,Canada,1,Dale1,reported_name,nrcan-nfdb:8748,SK-1981-DALE1,Saskatchewan,57.2552,-104.2604,1074921,Canadian National Fire Database large-fire points,false,false
1981,Canada,2,Da2066,reported_name,nrcan-nfdb:6862,AB-1981-DA2-066-81,Alberta,58.0658,-111.1475,1011019,Canadian National Fire Database large-fire points,false,false
1981,Canada,3,Vermillion1,reported_name,nrcan-nfdb:8769,SK-1981-VERMILLION1,Saskatchewan,56.8177,-107.2917,550687,Canadian National Fire Database large-fire points,false,false
1982,Canada,1,Df2014,reported_name,nrcan-nfdb:6844,AB-1982-DF2-014-82,Alberta,59.2833,-116.5576,575428,Canadian National Fire Database large-fire points,false,false
1982,Canada,2,Dp5008,reported_name,nrcan-nfdb:6882,AB-1982-DP5-008-82,Alberta,57.0065,-116.2077,155874,Canadian National Fire Database large-fire points,false,false
1982,Canada,3,Df1035,reported_name,nrcan-nfdb:6864,AB-1982-DF1-035-82,Alberta,57.6464,-114.9648,152989,Canadian National Fire Database large-fire points,false,false
1983,Canada,1,Living,reported_name,nrcan-nfdb:8241,SK-1983-LIVING,Saskatchewan,58.3594,-107.6146,33053,Canadian National Fire Database large-fire points,false,false
1983,Canada,2,Elk,reported_name,nrcan-nfdb:8450,SK-1983-ELK,Saskatchewan,56.62537,-109.30911,18074,Canadian National Fire Database large-fire points,false,false
1983,Canada,3,River,reported_name,nrcan-nfdb:9500,SK-1983-RIVER,Saskatchewan,58.5573,-107.8021,13893,Canadian National Fire Database large-fire points,false,false
1984,Canada,1,Norwood,reported_name,nrcan-nfdb:8219,SK-1984-NORWOOD,Saskatchewan,58.85,-107.53698,169740,Canadian National Fire Database large-fire points,false,false
1984,Canada,2,Otter,reported_name,nrcan-nfdb:9115,SK-1984-OTTER,Saskatchewan,57.3073,-109.4479,94239,Canadian National Fire Database large-fire points,false,false
1984,Canada,3,Ens,reported_name,nrcan-nfdb:8214,SK-1984-ENS,Saskatchewan,59.02442,-108.28344,72079,Canadian National Fire Database large-fire points,false,false
1984,United States,1,Hawk Creek,reported_name,mtbs:MT4625810827219840825,MT4625810827219840825,Montana,46.25848,-108.27154,157824,MTBS Fire Occurrence Points,false,false
1984,United States,2,Big Draw 2,reported_name,mtbs:ID4271711563419840810,ID4271711563419840810,Idaho,42.84291,-115.6658,45780,MTBS Fire Occurrence Points,false,false
1984,United States,3,Izen 1,reported_name,mtbs:NV4099711695019840830,NV4099711695019840830,Nevada,40.99697,-116.95039,38456,MTBS Fire Occurrence Points,false,false
1985,Canada,1,Brustad,reported_name,nrcan-nfdb:8287,SK-1985-BRUSTAD,Saskatchewan,57.5781,-107.5521,49708,Canadian National Fire Database large-fire points,false,false
1985,Canada,2,Picea,reported_name,nrcan-nfdb:8185,SK-1985-PICEA,Saskatchewan,59.91357,-106.6229,38524,Canadian National Fire Database large-fire points,false,false
1985,Canada,3,Carson,reported_name,nrcan-nfdb:8177,SK-1985-CARSON,Saskatchewan,58.67535,-103.2069,29867,Canadian National Fire Database large-fire points,false,false
1985,United States,1,Wheeler 2,reported_name,mtbs:CA3451011935419850701,CA3451011935419850701,California,34.5098,-119.35427,126905,MTBS Fire Occurrence Points,false,false
1985,United States,2,Allan Road,reported_name,mtbs:NC3569507626119850407,NC3569507626119850407,North Carolina,35.70678,-76.3703,110644,MTBS Fire Occurrence Points,false,false
1985,United States,3,Amax 1,reported_name,mtbs:NV4122911799519850619,NV4122911799519850619,Nevada,41.2289,-117.99503,92426,MTBS Fire Occurrence Points,false,false
1986,Canada,1,Churchill,reported_name,nrcan-nfdb:8018,SK-1986-CHURCHILL,Saskatchewan,56.17712,-107.89524,7497,Canadian National Fire Database large-fire points,false,false
1986,Canada,2,Frag,reported_name,nrcan-nfdb:9335,SK-1986-FRAG,Saskatchewan,53.80122,-102.48032,4066,Canadian National Fire Database large-fire points,false,false
1986,Canada,3,Elander,reported_name,nrcan-nfdb:9934,SK-1986-ELANDER,Saskatchewan,54.75008,-101.91202,3551,Canadian National Fire Database large-fire points,false,false
1986,United States,1,Blue Butte,reported_name,mtbs:ID4266811529419860810,ID4266811529419860810,Idaho,42.66783,-115.29438,62430,MTBS Fire Occurrence Points,false,false
1986,United States,2,Eureka Ck,reported_name,mtbs:AK6545414341319860629,AK6545414341319860629,Alaska,65.45375,-143.4132,45315,MTBS Fire Occurrence Points,false,false
1986,United States,3,Bissell Ck,reported_name,mtbs:ID4399611662019860810,ID4399611662019860810,Idaho,43.9957,-116.62032,40816,MTBS Fire Occurrence Points,false,false
1987,Canada,1,Elan,reported_name,nrcan-nfdb:8898,SK-1987-ELAN,Saskatchewan,54.401,-104.5938,162626,Canadian National Fire Database large-fire points,false,false
1987,Canada,2,Southend,reported_name,nrcan-nfdb:8802,SK-1987-SOUTHEND,Saskatchewan,56.32861,-103.22794,44872,Canadian National Fire Database large-fire points,false,false
1987,Canada,3,Macoun,reported_name,nrcan-nfdb:7946,SK-1987-MACOUN,Saskatchewan,56.55645,-103.75727,40140,Canadian National Fire Database large-fire points,false,false
1987,United States,1,Silver,reported_name,mtbs:OR4236212395219870830,OR4236212395219870830,Oregon,42.41856,-123.92846,96635,MTBS Fire Occurrence Points,false,false
1987,United States,2,King Titus,reported_name,mtbs:CA4163812338919870830,CA4163812338919870830,California,41.63835,-123.38854,71333,MTBS Fire Occurrence Points,false,false
1987,United States,3,Brushy,reported_name,mtbs:WV3791108213719871107,WV3791108213719871107,West Virginia,37.87124,-82.16672,61193,MTBS Fire Occurrence Points,false,false
1988,Canada,1,Coffee,reported_name,nrcan-nfdb:8486,SK-1988-COFFEE,Saskatchewan,54.55764,-104.59991,87676,Canadian National Fire Database large-fire points,false,false
1988,Canada,2,Snare,reported_name,nrcan-nfdb:9634,SK-1988-SNARE,Saskatchewan,58.1094,-107.3854,30373,Canadian National Fire Database large-fire points,false,false
1988,Canada,3,Dr6019,reported_name,nrcan-nfdb:6516,AB-1988-DR6-019-88,Alberta,52.6996,-115.3339,18894,Canadian National Fire Database large-fire points,false,false
1988,United States,1,North Fork,reported_name,mtbs:WY4470811082119880722,WY4470811082119880722,Wyoming,44.70808,-110.80084,563089,MTBS Fire Occurrence Points,false,false
1988,United States,2,Clovermist,reported_name,mtbs:WY4473710995419880709,WY4473710995419880709,Wyoming,44.74726,-109.96401,303221,MTBS Fire Occurrence Points,false,false
1988,United States,3,832604,reported_name,mtbs:AK6599614579119880629,AK6599614579119880629,Alaska,65.99605,-145.79142,294002,MTBS Fire Occurrence Points,false,false
1989,Canada,1,Scherr,reported_name,nrcan-nfdb:7957,SK-1989-SCHERR,Saskatchewan,55.3594,-102.8854,109044,Canadian National Fire Database large-fire points,false,false
